X	Y	Data
29040	29040	0.444591
30976	29040	0.392172
32912	29040	0.273991
34848	29040	0.114856
36784	29040	0.043814
38720	29040	0.145596
40656	29040	0.188127
42592	29040	0.168179
44528	29040	0.094278
46464	29040	0.035920
48400	29040	0.089015
50336	29040	0.096069
52272	29040	0.054966
54208	29040	0.087841
56144	29040	0.253563
58080	29040	0.448890
58100	29040	0.446782
0	30976	0.351255
1936	30976	0.173470
3872	30976	0.046802
5808	30976	0.066380
7744	30976	0.097955
9680	30976	0.059256
11616	30976	0.033999
13552	30976	0.108918
15488	30976	0.178133
17424	30976	0.189285
19360	30976	0.135545
21296	30976	0.035206
23232	30976	0.132102
25168	30976	0.273324
27104	30976	0.370130
29040	30976	0.397306
30976	30976	0.351414
32912	30976	0.236549
34848	30976	0.086111
36784	30976	0.061076
38720	30976	0.158429
40656	30976	0.193335
42592	30976	0.163927
44528	30976	0.086405
46464	30976	0.038293
48400	30976	0.097990
50336	30976	0.113714
52272	30976	0.077308
54208	30976	0.047522
56144	30976	0.205400
58080	30976	0.387809
58100	30976	0.385690
0	32912	0.256378
1936	32912	0.100817
3872	32912	0.043253
5808	32912	0.121924
7744	32912	0.138833
9680	32912	0.097028
11616	32912	0.028150
13552	32912	0.087065
15488	32912	0.166971
17424	32912	0.194481
19360	32912	0.158500
21296	32912	0.064614
23232	32912	0.063685
25168	32912	0.179674
27104	32912	0.266435
29040	32912	0.290870
30976	32912	0.244949
32912	32912	0.149213
34848	32912	0.028322
36784	32912	0.103693
38720	32912	0.178807
40656	32912	0.195768
42592	32912	0.153754
44528	32912	0.064104
46464	32912	0.056912
48400	32912	0.131451
50336	32912	0.164607
52272	32912	0.135907
54208	32912	0.043206
56144	32912	0.091667
58080	32912	0.246114
58100	32912	0.253113
0	34848	0.125492
1936	34848	0.016832
3872	34848	0.116709
5808	34848	0.183082
7744	34848	0.190520
9680	34848	0.141703
11616	34848	0.055684
13552	34848	0.062034
15488	34848	0.149654
17424	34848	0.197020
19360	34848	0.188773
21296	34848	0.128407
23232	34848	0.045263
25168	34848	0.082079
27104	34848	0.124118
29040	34848	0.143471
30976	34848	0.111179
32912	34848	0.049290
34848	34848	0.063381
36784	34848	0.146644
38720	34848	0.197277
40656	34848	0.190593
42592	34848	0.132225
44528	34848	0.048253
46464	34848	0.077556
48400	34848	0.167015
50336	34848	0.214445
52272	34848	0.205896
54208	34848	0.145211
56144	34848	0.035641
58080	34848	0.083381
58100	34848	0.088351
0	36784	0.029642
1936	36784	0.099458
3872	36784	0.183117
5808	36784	0.233131
7744	36784	0.229898
9680	36784	0.175842
11616	36784	0.081887
13552	36784	0.039141
15488	36784	0.119086
17424	36784	0.182809
19360	36784	0.198318
21296	36784	0.817142
23232	36784	0.122681
25168	36784	0.061965
27104	36784	0.029356
29040	36784	0.017061
30976	36784	0.036105
32912	36784	0.072323
34848	36784	0.131214
36784	36784	0.182082
38720	36784	0.200988
40656	36784	0.174300
42592	36784	0.106818
44528	36784	0.020367
46464	36784	0.103339
48400	36784	0.190219
50336	36784	0.248947
52272	36784	0.249278
54208	36784	0.212239
56144	36784	0.138530
58080	36784	0.059552
58100	36784	0.060023
0	38720	0.099622
1936	38720	0.152250
3872	38720	0.245490
5808	38720	0.240621
7744	38720	0.232044
9680	38720	0.183170
11616	38720	0.105130
13552	38720	0.024454
15488	38720	0.082158
17424	38720	0.152644
19360	38720	0.186816
21296	38720	0.191218
23232	38720	0.170013
25168	38720	0.139840
27104	38720	0.114114
29040	38720	0.102141
30976	38720	0.112314
32912	38720	0.139119
34848	38720	0.168551
36784	38720	0.183699
38720	38720	0.177837
40656	38720	0.142371
42592	38720	0.072616
44528	38720	0.021044
46464	38720	0.104496
48400	38720	0.181853
50336	38720	0.235152
52272	38720	0.253606
54208	38720	0.233944
56144	38720	0.118292
58080	38720	0.507821
58100	38720	0.510825
0	40656	0.121410
1936	40656	0.161319
3872	40656	0.195511
5808	40656	0.204879
7744	40656	0.197938
9680	40656	0.158827
11616	40656	0.099498
13552	40656	0.033464
15488	40656	0.043664
17424	40656	0.103934
19360	40656	0.144183
21296	40656	0.166176
23232	40656	0.170007
25168	40656	0.166806
27104	40656	0.157456
29040	40656	0.149479
30976	40656	0.298175
32912	40656	0.158183
34848	40656	0.158081
36784	40656	0.153361
38720	40656	0.131717
40656	40656	0.095335
42592	40656	0.039104
44528	40656	0.030679
46464	40656	0.087301
48400	40656	0.143700
50336	40656	0.185775
52272	40656	0.201521
54208	40656	0.199975
56144	40656	0.194950
58080	40656	0.161389
58100	40656	0.161406
0	42592	0.090578
1936	42592	0.100994
3872	42592	0.116889
5808	42592	0.209678
7744	42592	0.116130
9680	42592	0.103176
11616	42592	0.078418
13552	42592	0.046534
15488	42592	0.017728
17424	42592	0.036230
19360	42592	0.073707
21296	42592	0.100421
23232	42592	0.124387
25168	42592	0.139576
27104	42592	0.145360
29040	42592	0.144474
30976	42592	0.136502
32912	42592	0.119865
34848	42592	0.100661
36784	42592	0.077748
38720	42592	0.058000
40656	42592	0.035444
42592	42592	0.018382
44528	42592	0.028405
46464	42592	0.050319
48400	42592	0.072938
50336	42592	0.094858
52272	42592	0.105252
54208	42592	0.109970
56144	42592	0.112041
58080	42592	0.116846
58100	42592	0.116511
0	44528	0.038658
1936	44528	0.024913
3872	44528	0.024120
5808	44528	0.029987
7744	44528	0.032708
9680	44528	0.039747
11616	44528	0.045008
13552	44528	0.052681
15488	44528	0.054850
17424	44528	0.048922
19360	44528	0.039054
21296	44528	0.033568
23232	44528	0.044524
25168	44528	0.068669
27104	44528	0.090165
29040	44528	0.098054
30976	44528	0.082056
32912	44528	0.043164
34848	44528	0.019366
36784	44528	0.029156
38720	44528	0.053864
40656	44528	0.062221
42592	44528	0.051619
44528	44528	0.037780
46464	44528	0.014814
48400	44528	0.027287
50336	44528	0.038899
52272	44528	0.039054
54208	44528	0.030253
56144	44528	0.024711
58080	44528	0.228995
58100	44528	0.224692
0	46464	0.053628
1936	46464	0.079017
3872	46464	0.107920
5808	46464	0.124377
7744	46464	0.114451
9680	46464	0.082440
11616	46464	0.036591
13552	46464	0.051127
15488	46464	0.094253
17424	46464	0.125735
19360	46464	0.125916
21296	46464	0.097434
23232	46464	0.059955
25168	46464	0.031117
27104	46464	0.035386
29040	46464	0.046462
30976	46464	0.036454
32912	46464	0.039184
34848	46464	0.081185
36784	46464	0.126143
38720	46464	0.143419
40656	46464	0.133720
42592	46464	0.094100
44528	46464	0.031492
46464	46464	0.040205
48400	46464	0.091842
50336	46464	0.129637
52272	46464	0.136224
54208	46464	0.116092
56144	46464	0.055720
58080	46464	0.051896
58100	46464	0.052017
0	48400	0.093487
1936	48400	0.145691
3872	48400	0.197508
5808	48400	0.224708
7744	48400	0.213525
9680	48400	0.158178
11616	48400	0.067880
13552	48400	0.041827
15488	48400	0.128058
17424	48400	0.186176
19360	48400	0.205234
21296	48400	0.181109
23232	48400	0.129011
25168	48400	0.069614
27104	48400	0.034359
29040	48400	0.036669
30976	48400	0.051688
32912	48400	0.096799
34848	48400	0.152926
36784	48400	0.204518
38720	48400	0.219573
40656	48400	0.192168
42592	48400	0.123813
44528	48400	0.024640
46464	48400	0.070920
48400	48400	0.155665
50336	48400	0.205683
52272	48400	0.214599
54208	48400	0.187937
56144	48400	0.132969
58080	48400	0.077765
58100	48400	0.079844
0	50336	0.078073
1936	50336	0.156149
3872	50336	0.231188
5808	50336	0.280394
7744	50336	0.266176
9680	50336	0.202877
11616	50336	0.093539
13552	50336	0.036938
15488	50336	0.148909
17424	50336	0.231077
19360	50336	0.257817
21296	50336	0.227865
23232	50336	0.161879
25168	50336	0.086992
27104	50336	0.040116
29040	50336	0.042214
30976	50336	0.057442
32912	50336	0.109501
34848	50336	0.178546
36784	50336	0.243865
38720	50336	0.268151
40656	50336	0.235094
42592	50336	0.152660
44528	50336	0.039148
46464	50336	0.090454
48400	50336	0.189079
50336	50336	0.240229
52272	50336	0.243158
54208	50336	0.198346
56144	50336	0.127892
58080	50336	0.057678
58100	50336	0.057815
0	52272	0.073360
1936	52272	0.100244
3872	52272	0.205574
5808	52272	0.274295
7744	52272	0.279806
9680	52272	0.219892
11616	52272	0.106663
13552	52272	0.053115
15488	52272	0.160273
17424	52272	0.249540
19360	52272	0.277657
21296	52272	0.235672
23232	52272	0.150434
25168	52272	0.050267
27104	52272	0.034938
29040	52272	0.057736
30976	52272	0.052129
32912	52272	0.078259
34848	52272	0.161020
36784	52272	0.245166
38720	52272	0.275453
40656	52272	0.249681
42592	52272	0.162899
44528	52272	0.047790
46464	52272	0.090449
48400	52272	0.190313
50336	52272	0.240034
52272	52272	0.231480
54208	52272	0.166927
56144	52272	0.065885
58080	52272	0.082619
58100	52272	0.067652
0	54208	0.172015
1936	54208	0.039939
3872	54208	0.121643
5808	54208	0.213621
7744	54208	0.246919
9680	54208	0.203740
11616	54208	0.103649
13552	54208	0.034124
15488	54208	0.163603
17424	54208	0.250701
19360	54208	0.262476
21296	54208	0.199604
23232	54208	0.094201
25168	54208	0.031242
27104	54208	0.126568
29040	54208	0.159628
30976	54208	0.129876
32912	54208	0.049583
34848	54208	0.093595
36784	54208	0.194595
38720	54208	0.256194
40656	54208	0.245953
42592	54208	0.169304
44528	54208	0.051944
46464	54208	0.081334
48400	54208	0.173014
50336	54208	0.210724
52272	54208	0.184475
54208	54208	0.083057
56144	54208	0.153318
58080	54208	0.187961
58100	54208	0.192797
0	56144	0.382568
1936	56144	0.171793
3872	56144	0.022357
5808	56144	0.133656
7744	56144	0.189962
9680	56144	0.172327
11616	56144	0.082738
13552	56144	0.064482
15488	56144	0.165695
17424	56144	0.237250
19360	56144	0.232022
21296	56144	0.146226
23232	56144	0.038994
25168	56144	0.150132
27104	56144	0.263563
29040	56144	0.308858
30976	56144	0.333638
32912	56144	0.190196
34848	56144	0.030514
36784	56144	0.119317
38720	56144	0.211144
40656	56144	0.223283
42592	56144	0.169817
44528	56144	0.063575
46464	56144	0.086284
48400	56144	0.139308
50336	56144	0.158901
52272	56144	0.107740
54208	56144	0.038676
56144	56144	0.187581
58080	56144	0.367764
58100	56144	0.367651
0	58080	0.579178
1936	58080	0.333555
3872	58080	0.117799
5808	58080	0.067470
7744	58080	0.139267
9680	58080	0.142834
11616	58080	0.076538
13552	58080	0.069034
15488	58080	0.175119
17424	58080	0.223649
19360	58080	0.194068
